name,company,ideal_for,category,rating,ratings_count,reviews_count,actual_price,discounted_price,discount_percentage
Men Solid Polo Neck Cotton Blend Black T-Shirt,Allen Solly ,men,tshirts,4.3,"21,430","1,144","₹1,099",₹736,33%
"Pack of 2 Men Printed Round Neck Polyester Light Green, Dark Green T-Shirt",KAJARU ,men,tshirts,3.8,"88,910","4,717","₹1,899",₹359,81%
Men Colorblock Round Neck Pure Cotton Pink T-Shirt,Kroptee ,men,tshirts,3.8,"19,519",879,₹999,₹249,75%
Men Graphic Print Round Neck Cotton Blend Black T-Shirt,Benny Brooks ,men,tshirts,4,4,1,"₹1,099",₹299,72%
Men Colorblock Polo Neck Poly Cotton Dark Green T-Shirt,DyrectDeals ,men,tshirts,3.9,"15,335",710,"₹1,299",₹299,76%
Men Solid Round Neck Polyester Beige T-Shirt,Madfrog ,men,tshirts,3.9,"3,141",106,₹999,₹269,73%
"Pack of 2 Men Printed Round Neck Polyester Pink, Blue T-Shirt",KAJARU ,men,tshirts,3.8,"88,910","4,717","₹1,899",₹359,81%
"Pack of 4 Men Solid Round Neck Polyester Silver, Blue, Black, Grey T-Shirt",FTX ,men,tshirts,4,"1,80,832","11,837","₹1,499",₹459,69%
"Pack of 2 Men Typography Round Neck Cotton Blend Pink, Grey T-Shirt",Try This ,men,tshirts,3.8,"8,681",307,"₹1,999",₹349,82%
Men Printed Round Neck Polyester White T-Shirt,geetaffashion ,men,tshirts,Unknown,Unknown,Unknown,₹599,₹210,64%
Men Printed Round Neck Polyester Grey T-Shirt,VeBNoR ,men,tshirts,3.7,"76,913","4,175",₹999,₹259,74%
Men Printed Mandarin Collar Polyester Blue T-Shirt,dhaari by unique creation ,men,tshirts,4,725,14,"₹1,199",₹289,75%
Pack of 2 Men Graphic Print Round Neck Cotton Blend Multicolor T-Shirt,MONKEY BOYS ,men,tshirts,3.8,"1,112",27,₹999,₹269,73%
Men Printed Polo Neck Polyester Grey T-Shirt,VeBNoR ,men,tshirts,3.8,"1,372",45,₹999,₹279,72%
Men Solid Polo Neck Cotton Blend White T-Shirt,Allen Solly ,men,tshirts,4.3,"2,176",90,"₹1,099",₹736,33%
"Men Printed, Typography Round Neck Cotton Blend Yellow T-Shirt",LIULA CORPORATION ,men,tshirts,3.7,3,0,₹999,₹296,70%
Men Printed Round Neck Cotton Blend Black T-Shirt,AUSK ,men,tshirts,4,4,0,"₹1,499",₹279,81%
Men Printed Round Neck Pure Cotton White T-Shirt,BUKKL ,men,tshirts,4,"11,544",558,"₹1,999",₹299,85%
Men Printed Round Neck Polyester Multicolor T-Shirt,sti ,men,tshirts,3.9,"72,975","5,613",₹999,₹191,80%
Men Checkered Hooded Neck Cotton Blend White T-Shirt,EyeBogler ,men,tshirts,3.8,"17,077",712,"₹2,499",₹299,88%
Men Regular Fit Checkered Spread Collar Casual Shirt  (Pack of 2),BLUE MARTIN ,men,shirts,3.7,"89,922","5,428",₹999,₹419,58%
Men Regular Fit Solid Spread Collar Casual Shirt  (Pack of 2),BLUE MARTIN ,men,shirts,3.7,"15,704",872,"₹1,499",₹419,72%
Men Regular Fit Solid Spread Collar Casual Shirt,METRONAUT ,men,shirts,3.8,"57,658","2,432","₹1,999",₹299,85%
Men Regular Fit Solid Button Down Collar Casual Shirt,METRONAUT ,men,shirts,3.8,"57,658","2,432","₹1,999",₹299,85%
Men Regular Fit Printed Spread Collar Casual Shirt,VeBNoR ,men,shirts,3.9,"42,779","2,071",₹999,₹249,75%
Men Regular Fit Solid Cut Away Collar Casual Shirt,Allen Solly ,men,shirts,4.2,"1,541",82,"₹1,699","₹1,049",38%
Men Regular Fit Striped Spread Collar Casual Shirt,VeBNoR ,men,shirts,4.1,22,1,₹999,₹249,75%
Men Regular Fit Checkered Spread Collar Casual Shirt  (Pack of 2),BLUE MARTIN ,men,shirts,3.7,"89,922","5,428",₹999,₹419,58%
Men Regular Fit Printed Spread Collar Casual Shirt,GLOBAL NOMAD ,men,shirts,Unknown,Unknown,Unknown,"₹2,499",₹398,84%
Men Slim Fit Checkered Cut Away Collar Casual Shirt,HIGHLANDER ,men,shirts,4.1,763,25,"₹1,799",₹611,66%
Men Regular Fit Dyed/Ombre Spread Collar Casual Shirt,Voroxy ,men,shirts,4,"3,625",179,"₹1,499",₹299,80%
Men Regular Fit Checkered Spread Collar Casual Shirt  (Pack of 2),BLUE MARTIN ,men,shirts,3.7,"89,922","5,428",₹999,₹419,58%
Men Slim Fit Printed Cut Away Collar Casual Shirt,HIGHLANDER ,men,shirts,4.1,"3,532",249,"₹1,199",₹471,60%
Men Regular Fit Solid Casual Shirt,WROGN ,men,shirts,4.2,31,1,"₹1,299",₹809,37%
Men Regular Fit Checkered Curved Collar Casual Shirt,EyeBogler ,men,shirts,Unknown,Unknown,Unknown,"₹1,299",₹459,64%
Men Regular Fit Solid Spread Collar Formal Shirt,ARROW ,men,shirts,4.2,151,17,"₹1,999",₹839,58%
Men Relaxed Fit Fit Printed Spread Collar Casual Shirt,youth first ,men,shirts,4,"4,310",221,₹999,₹249,75%
