name,company,ideal_for,category,rating,ratings_count,reviews_count,actual_price,discounted_price,discount_percentage
Men Regular Fit Checkered Spread Collar Casual Shirt(Pack of 2),BLUE MARTIN,men,shirts,3.7,89922.0,5428.0,999,419,58
Men Regular Fit Solid Spread Collar Casual Shirt(Pack of 2),BLUE MARTIN,men,shirts,3.7,15704.0,872.0,1499,419,72
Men Regular Fit Solid Spread Collar Casual Shirt,METRONAUT,men,shirts,3.8,57658.0,2432.0,1999,299,85
Men Regular Fit Solid Button Down Collar Casual Shirt,METRONAUT,men,shirts,3.8,57658.0,2432.0,1999,299,85
Men Regular Fit Printed Spread Collar Casual Shirt,VeBNoR,men,shirts,3.9,42779.0,2071.0,999,249,75
Men Regular Fit Solid Cut Away Collar Casual Shirt,Allen Solly,men,shirts,4.2,1541.0,82.0,1699,1049,38
Men Regular Fit Striped Spread Collar Casual Shirt,VeBNoR,men,shirts,4.1,22.0,1.0,999,249,75
Men Regular Fit Checkered Spread Collar Casual Shirt(Pack of 2),BLUE MARTIN,men,shirts,3.7,89922.0,5428.0,999,419,58
Men Regular Fit Printed Spread Collar Casual Shirt,GLOBAL NOMAD,men,shirts,,,,2499,398,84
Men Slim Fit Checkered Cut Away Collar Casual Shirt,HIGHLANDER,men,shirts,4.1,763.0,25.0,1799,611,66
Men Regular Fit Dyed/Ombre Spread Collar Casual Shirt,Voroxy,men,shirts,4.0,3625.0,179.0,1499,299,80
Men Regular Fit Checkered Spread Collar Casual Shirt(Pack of 2),BLUE MARTIN,men,shirts,3.7,89922.0,5428.0,999,419,58
Men Slim Fit Printed Cut Away Collar Casual Shirt,HIGHLANDER,men,shirts,4.1,3532.0,249.0,1199,471,60
Men Regular Fit Solid Casual Shirt,WROGN,men,shirts,4.2,31.0,1.0,1299,809,37
Men Regular Fit Checkered Curved Collar Casual Shirt,EyeBogler,men,shirts,,,,1299,459,64
Men Regular Fit Solid Spread Collar Formal Shirt,ARROW,men,shirts,4.2,151.0,17.0,1999,839,58
Men Relaxed Fit Fit Printed Spread Collar Casual Shirt,youth first,men,shirts,4.0,4310.0,221.0,999,249,75
Men Regular Fit Striped Spread Collar Casual Shirt,youth first,men,shirts,3.7,3193.0,144.0,999,299,70
Men Slim Fit Checkered Cut Away Collar Casual Shirt,HIGHLANDER,men,shirts,4.1,1317.0,46.0,1799,665,63
Men Regular Fit Checkered Spread Collar Casual Shirt,FATTY MOUSE,men,shirts,,,,1299,284,78
Men Regular Fit Checkered Spread Collar Casual Shirt(Pack of 2),BLUE MARTIN,men,shirts,3.7,89922.0,5428.0,999,419,58
Men Regular Fit Printed Spread Collar Casual Shirt,Voroxy,men,shirts,3.9,538.0,26.0,1499,299,80
Men Regular Fit Solid Spread Collar Formal Shirt,METRONAUT,men,shirts,3.7,2724.0,107.0,1899,299,84
Men Tailored Fit Printed Cut Away Collar Casual Shirt,U.S. POLO ASSN.,men,shirts,4.2,6.0,0.0,2199,1049,52
Men Regular Fit Solid Button Down Collar Casual Shirt,METRONAUT,men,shirts,3.8,57658.0,2432.0,1999,299,85
Men Slim Fit Solid Spread Collar Casual Shirt,HIGHLANDER,men,shirts,4.0,3960.0,558.0,999,455,54
Men Regular Fit Checkered Spread Collar Casual Shirt,Dark Age,men,shirts,3.7,5914.0,392.0,1399,289,79
Men Regular Fit Self Design Lapel Collar Casual Shirt,Voroxy,men,shirts,4.1,2576.0,108.0,1999,399,80
Men Slim Fit Solid Spread Collar Casual Shirt,HIGHLANDER,men,shirts,4.1,14818.0,1432.0,999,455,54
Men Regular Fit Self Design Spread Collar Casual Shirt,GLORISTAR,men,shirts,,,,1799,484,73
Men Regular Fit Solid Spread Collar Casual Shirt,MILDIN,men,shirts,3.9,2580.0,99.0,1999,379,81
Men Regular Fit Solid Formal Shirt,StyleMODO,men,shirts,4.0,1739.0,101.0,2199,399,81
Men Regular Fit Solid Button Down Collar Casual Shirt,METRONAUT,men,shirts,3.8,57658.0,2432.0,1999,299,85
Men Slim Fit Solid Spread Collar Formal Shirt,ARROW,men,shirts,4.1,453.0,19.0,1899,796,58
Men Regular Fit Checkered Spread Collar Casual Shirt,sti,men,shirts,4.0,28593.0,1877.0,999,249,75
Men Regular Fit Solid Spread Collar Casual Shirt,METRONAUT,men,shirts,3.8,57658.0,2432.0,1999,299,85
Men Slim Fit Checkered Spread Collar Casual Shirt,The Indian Garage Co.,men,shirts,4.0,659.0,47.0,1749,560,67
Men Regular Fit Solid Spread Collar Casual Shirt(Pack of 2),youth first,men,shirts,3.7,22430.0,1232.0,999,462,53
Men Regular Fit Solid Spread Collar Casual Shirt,VeBNoR,men,shirts,4.0,334013.0,26129.0,999,299,70
Men Slim Fit Solid Formal Shirt,ARROW,men,shirts,4.3,199.0,10.0,1899,796,58
Men Regular Fit Checkered Spread Collar Casual Shirt(Pack of 2),BLUE MARTIN,men,shirts,3.7,89922.0,5428.0,999,419,58
Men Regular Fit Solid Spread Collar Casual Shirt(Pack of 2),BLUE MARTIN,men,shirts,3.7,15704.0,872.0,1499,419,72
Men Slim Fit Printed Cut Away Collar Casual Shirt,Allen Solly,men,shirts,4.1,2542.0,212.0,1549,929,40
Men Slim Fit Checkered Cut Away Collar Casual Shirt,HIGHLANDER,men,shirts,3.7,151.0,5.0,1899,550,71
Men Regular Fit Solid Mandarin Collar Casual Shirt,VeBNoR,men,shirts,4.0,245420.0,16162.0,999,299,70
Men Regular Fit Solid Mandarin Collar Casual Shirt,VeBNoR,men,shirts,4.0,245420.0,16162.0,999,299,70
Men Regular Fit Striped Spread Collar Casual Shirt,VeBNoR,men,shirts,4.1,22.0,1.0,999,249,75
Men Regular Fit Checkered Spread Collar Casual Shirt(Pack of 2),BLUE MARTIN,men,shirts,3.7,89922.0,5428.0,999,419,58
Men Regular Fit Solid Spread Collar Casual Shirt,METRONAUT,men,shirts,3.8,57658.0,2432.0,1999,299,85
Men Slim Fit Solid Mandarin Collar Casual Shirt,HIGHLANDER,men,shirts,3.9,1726.0,80.0,1999,579,71
Men Regular Fit Dyed/Ombre Spread Collar Casual Shirt,Voroxy,men,shirts,4.0,3625.0,179.0,1499,299,80
Men Regular Fit Checkered Spread Collar Casual Shirt(Pack of 2),BLUE MARTIN,men,shirts,3.7,89922.0,5428.0,999,419,58
Men Regular Fit Solid Spread Collar Casual Shirt,Voroxy,men,shirts,3.9,6350.0,269.0,2199,299,86
Men Slim Fit Checkered Cut Away Collar Casual Shirt,Allen Solly,men,shirts,4.2,321.0,18.0,1799,1049,41
Men Slim Fit Solid Mandarin Collar Casual Shirt,HIGHLANDER,men,shirts,4.2,32587.0,3674.0,999,455,54
Men Regular Fit Striped Casual Shirt,METRONAUT,men,shirts,3.4,16.0,0.0,1999,299,85
Men Regular Fit Checkered Spread Collar Casual Shirt(Pack of 2),BLUE MARTIN,men,shirts,3.7,89922.0,5428.0,999,419,58
Men Regular Fit Solid Button Down Collar Casual Shirt,METRONAUT,men,shirts,3.8,57658.0,2432.0,1999,299,85
Men Slim Fit Solid Spread Collar Casual Shirt,HIGHLANDER,men,shirts,4.1,2211.0,158.0,999,455,54
Men Relaxed Fit Fit Printed Spread Collar Casual Shirt,youth first,men,shirts,4.0,4310.0,221.0,999,249,75
Men Regular Fit Striped Spread Collar Casual Shirt,youth first,men,shirts,3.7,3193.0,144.0,999,299,70
Men Regular Fit Solid Spread Collar Casual Shirt,Allen Solly,men,shirts,4.1,925.0,35.0,1699,1049,38
Men Regular Fit Printed Casual Shirt,GLOBAL NOMAD,men,shirts,,,,2499,398,84
Men Slim Fit Solid Spread Collar Casual Shirt,Dennis Lingo,men,shirts,4.0,421701.0,40441.0,1849,499,73
Men Regular Fit Solid Spread Collar Formal Shirt,PETER ENGLAND,men,shirts,4.3,406.0,25.0,1599,959,40
Men Regular Fit Printed Spread Collar Casual Shirt,Voroxy,men,shirts,3.9,538.0,26.0,1499,299,80
Men Regular Fit Checkered Spread Collar Casual Shirt,Dark Age,men,shirts,3.7,5914.0,392.0,1399,289,79
Men Slim Fit Printed Spread Collar Casual Shirt,HIGHLANDER,men,shirts,4.1,2117.0,113.0,1049,503,52
Men Regular Fit Checkered Casual Shirt,sti,men,shirts,4.0,28593.0,1877.0,1499,249,83
Men Regular Fit Self Design Lapel Collar Casual Shirt,Voroxy,men,shirts,4.1,2576.0,108.0,1999,399,80
Men Regular Fit Solid Spread Collar Casual Shirt,MILDIN,men,shirts,3.9,2580.0,99.0,1999,379,81
Men Regular Fit Checkered Casual Shirt,sti,men,shirts,4.0,28593.0,1877.0,1499,249,83
Men Regular Fit Solid Spread Collar Casual Shirt,METRONAUT,men,shirts,3.8,57658.0,2432.0,1999,299,85
Men Regular Fit Checkered Slim Collar Casual Shirt,tallwalker,men,shirts,4.0,13573.0,896.0,1287,399,68
Men Regular Fit Checkered Spread Collar Casual Shirt,CAMPUS SUTRA,men,shirts,4.0,3299.0,215.0,1599,719,55
Men Regular Fit Striped Spread Collar Casual Shirt,sti,men,shirts,3.9,4979.0,272.0,1099,249,77
Men Slim Fit Checkered Spread Collar Casual Shirt,The Indian Garage Co.,men,shirts,4.0,659.0,47.0,1749,560,67
Men Regular Fit Solid Spread Collar Casual Shirt,VeBNoR,men,shirts,4.0,334013.0,26129.0,999,299,70
Men Regular Fit Checkered Casual Shirt,Roadster,men,shirts,4.0,1555.0,100.0,1599,637,60
"WHITE HIGH PREMIUM QUALITY Running Shoes For Men(White , 9)",Aeonik,men,shoes,3.5,24.0,2.0,1999,599,70
"High Tops For Men(Bronze, Black , 7)",lejano,men,shoes,3.9,13608.0,546.0,1299,472,63
"MIKE (N) Running Shoes For Men(Black , 6)",CAMPUS,men,shoes,4.1,246757.0,17423.0,1699,828,51
"Lace Up For Men(Black , 7)",Bata,men,shoes,4.1,61651.0,4876.0,1199,839,30
"Casual Loafers For Men(Black , 9)",AJANTA,men,shoes,4.0,132085.0,10085.0,699,319,54
"Trending Stylish Casual Outdoor Shoes Sneakers For Men(White, Black , 7)",URBANBOX,men,shoes,3.8,45235.0,1411.0,999,299,70
"OGIY RETRO SHOES HIGH PREMIUM QUALITY Sneakers For Men(Green , 9)",Aeonik,men,shoes,3.7,5157.0,189.0,1999,467,76
"Combo Pack of 2 Casual Shoes Sneakers For Men(Multicolor , 7)",BIRDE,men,shoes,3.6,8150.0,479.0,1998,497,75
"Sparta Sports shoes for Men | Gym Training Walking Running Shoes For Men Training & Gym Shoes For Men(White, Orange , 6)",Airson,men,shoes,4.1,14.0,1.0,1599,864,45
"wndr-13 sports shoes for men | Latest Stylish Casual sport shoes for men |running shoes for boys | Lace up Lightweight grey shoes for running, walking, gym, trekking, hiking & party Running Shoes For Men(Multicolor , 6 UK/India)",asian,men,shoes,4.1,417354.0,54253.0,999,624,37
"Men shoe Running Shoes For Men(Black , 6)",BRUTON,men,shoes,3.6,293.0,5.0,2490,318,87
"Sneakers For Men(Black , 8)",lejano,men,shoes,3.8,2524.0,129.0,1299,440,66
"Lite Sports Shoes Running Shoes For Men(Blue , 7)",BRUTON,men,shoes,3.9,32992.0,1631.0,2499,499,80
"Lite Casual Shoes Sneakers For Men(White , 10)",BRUTON,men,shoes,3.9,463.0,17.0,2499,499,80
"Play Black Color block Casual All day Wear Sneakers for Men (SNK-CSJB) UK 12 Sneakers For Men(Black , 12)",LOUIS STITCH,men,shoes,,,,6999,2999,57
"MIKE (N) Running Shoes For Men(Burgundy , 8)",CAMPUS,men,shoes,4.1,246757.0,17423.0,1699,1023,39
"Sneakers For Men(White, Black, Grey , 7)",lejano,men,shoes,3.3,6.0,0.0,1299,586,54
"Range of Sports, Runing, Walking, Cricket, Jogging, Sneakers and Casuals For Men(White , 8)",Nobelite,men,shoes,4.1,1651.0,92.0,4999,1176,76
"Hustle V2 Sneakers For Men(Blue , 7)",PUMA,men,shoes,4.1,131251.0,11437.0,3999,2765,30
"Sneakers For Men(White , 10)",Roadster,men,shoes,,,,3699,1702,53
"High Tops For Men(Black, Grey , 7)",lejano,men,shoes,3.7,9675.0,547.0,1999,482,75
"Walking Shoes For Men(Grey , 8)",BIRDE,men,shoes,3.8,2103.0,117.0,999,357,64
"Precision 6 Basketball Shoes For Men(Black , 8)",NIKE,men,shoes,4.3,532.0,40.0,5695,3986,30
"Slip On For Men(Black , 9)",Bata,men,shoes,4.2,22651.0,1601.0,1099,769,30
"Downshifter 13 Running Shoes For Men(Grey , 6)",NIKE,men,shoes,4.5,180.0,12.0,4295,3650,15
"Lite Sports Shoes Running Shoes For Men(Grey , 8)",BRUTON,men,shoes,3.9,32992.0,1631.0,2499,499,80
"CR-1 Sneakers For Men(Black , 6)",HOTSTYLE,men,shoes,3.8,30233.0,2637.0,588,320,45
"Modern Trendy Shoes Sneakers For Men(Green , 6)",BRUTON,men,shoes,3.8,2842.0,147.0,1299,318,75
"Loafers For Men(Brown , 10)",Bata,men,shoes,4.1,29507.0,2158.0,999,699,30
"ARS-MASTER-2 Sports shoes for Men | Gym Training Walking Running Shoes For Men Running Shoes For Men(Navy, Orange , 9)",Airson,men,shoes,,,,2999,1233,58
"Sports shoes for men|Stylish Casual sport shoes for men |running shoes for boys Running Shoes For Men(Grey, Green , 7)",Airson,men,shoes,3.9,6074.0,376.0,1099,399,63
"Canvas Shoes For Men(Black, White, Grey , 8)",lejano,men,shoes,3.8,261.0,10.0,1299,474,63
"Trendy Running Shoes For Men(Blue , 10)",BRUTON,men,shoes,3.7,76146.0,3986.0,1299,352,72
"Slip On For Men(Black , 7)",Bata,men,shoes,4.1,387.0,32.0,999,699,30
"Office Wear Lace Up For Men(Black , 7)",Bata,men,shoes,3.8,9239.0,1008.0,999,899,10
"Casual Sneakers For Men(Black, White , 7)",Roadster,men,shoes,,,,3499,1299,62
"Modern Trendy Sneakers Shoes Sneakers For Men(Black, Red , 6)",BRUTON,men,shoes,3.8,2517.0,170.0,1299,318,75
"Premium Lofer Shoes Slip On Sneakers For Men(Navy , 10)",BIRDE,men,shoes,3.8,12445.0,756.0,1999,474,76
"Loafers For Men(Blue , 6)",AJANTA,men,shoes,4.0,132085.0,10085.0,699,319,54
"Stylish Multi Sports Casual Sneaker Shoes Sneakers For Men(Grey , 10)",ROASTER,men,shoes,3.9,3144.0,147.0,1499,288,80
"WHITE HIGH PREMIUM QUALITY Running Shoes For Men(White , 9)",Aeonik,men,shoes,3.5,24.0,2.0,1999,599,70
"High Tops For Men(Bronze, Black , 7)",lejano,men,shoes,3.9,13608.0,546.0,1299,472,63
"Casual Loafers For Men(Brown , 7)",AJANTA,men,shoes,4.0,132085.0,10085.0,699,319,54
"Z Blue Clogs LITE RIDE 360 EVA Non-slip Waterproof Comfortable Soft Heightening Clogs For Men(White, Blue , 11)",Z Blue,men,shoes,3.0,369.0,24.0,1999,990,50
"Downshifter 13 Running Shoes For Men(Black , 7)",NIKE,men,shoes,4.2,81.0,6.0,4295,3650,15
"Casual Sneaker Shoes For Men | Enhanced Comfort with Cushioned Insole High Tops For Men(White, Blue , 6)",asian,men,shoes,4.0,20606.0,1552.0,999,799,20
"OGIY RETRO SHOES HIGH PREMIUM QUALITY Sneakers For Men(Green , 9)",Aeonik,men,shoes,3.7,5157.0,189.0,1999,467,76
"Combo Pack of 2 Casual Shoes Sneakers For Men(Multicolor , 7)",BIRDE,men,shoes,3.6,8150.0,479.0,1998,497,75
"ROBERT-2 Derby For Men(Black , 9)",LIBERTY,men,shoes,4.1,14117.0,1244.0,2499,1249,50
"Hiking & Treking Derby Whith Extra Cushioning Outdoors For Men(Black , 7)",OZJI,men,shoes,,,,2299,699,69
"Sneakers For Men(White, Black, Grey , 7)",lejano,men,shoes,3.3,6.0,0.0,1299,586,54
"Men shoe Running Shoes For Men(Black , 6)",BRUTON,men,shoes,3.6,293.0,5.0,2490,318,87
"Stylish Comfortable Lightweight, Breathable Black Running Walking Shoes For Men(Blue , 9)",BIRDE,men,shoes,3.8,27411.0,1685.0,999,319,68
"Slip On For Men(Black , 9)",AJANTA,men,shoes,3.8,9273.0,710.0,799,319,60
"Black Formal Shoes Oxford For Men(Black , 7)",Bata,men,shoes,3.8,11589.0,1211.0,1199,999,16
"Lace Up For Men(Black , 7)",TRENICAL,men,shoes,,,,1999,799,60
"Sneakers For Men(Black , 8)",lejano,men,shoes,3.8,2524.0,129.0,1299,440,66
"High Tops For Men(Black, Grey , 7)",lejano,men,shoes,3.7,9675.0,547.0,1999,482,75
"AIR STRIKE Football Shoes For Men(Black , 7)",NIVIA,men,shoes,4.1,22616.0,2211.0,999,799,20
"Lite Sport Shoes , Runing Shoes Running Shoes For Men(White , 7)",BRUTON,men,shoes,3.8,2183.0,112.0,2499,499,80
"Walking Shoes For Men(Grey , 8)",BIRDE,men,shoes,3.8,2103.0,117.0,999,357,64
